Country,CountryCode,Year,GDP_growth,Tax_revenue_percent_GDP,Poverty_rate,Unemployment_rate,FDI_percent_GDP,Current_account_balance_percent_GDP,Urbanization_rate,Population_total,Population_growth_rate,Agriculture_value_added_percent_GDP,Industry_value_added_percent_GDP,Services_value_added_percent_GDP,Gini_index,Gross_capital_formation_percent_GDP,Trade_percent_GDP,R&D_expenditure_percent_GDP,School_enrollment_secondary,School_enrollment_tertiary,Adult_literacy_rate,Education_expenditure_percent_GDP,Pupil_teacher_ratio_primary,Access_to_electricity_percent,Internet_users_per_100,Mobile_subscriptions_per_100,Logistics_Performance_Index,Life_expectancy,Health_expenditure_percent_GDP,Under5_mortality_rate,Gov_Effectiveness,Control_Corruption,Reg_Quality,Rule_of_Law,Political_Stability,Voice_Accountability,Exports_percent_GDP,Patent_applications_residents
Argentina,AR,2014,-2.51261532081394,12.6109666067191,1.1,7.268,0.962406650325519,-1.74400211981355,91.377,43024071,1.0317435786984,6.71270351428559,24.2773944936602,52.9405434663365,41.8,17.2628810064651,28.4067936452275,0.593959987163544,106.092132568359,81.1694107055664,,5.36144018173218,,100.0,64.7,142.325,2.986475,76.268,9.67129993,12.2,-0.111114293336868,-0.549791395664215,-1.0661495923996,-0.866627335548401,-0.0051218713633716,0.34527176618576,14.4054785893756,509.0
Argentina,AR,2015,2.73115982828944,12.3365069418291,,7.579,1.97713461784426,-2.96292666513534,91.503,43477012,1.04725888735726,5.1566859021408,23.153056135905,55.8149012843362,,17.0707048841583,22.4862260889792,0.622619986534119,107.549072265625,83.762580871582,,5.77611017227173,,99.7,68.0,142.241,,76.6,10.22933674,11.7,-0.0494756102561951,-0.581265270709991,-0.898022353649139,-0.74863588809967,0.0087641347199678,0.411758154630661,10.7056520504538,546.0
Argentina,AR,2016,-2.08032784377811,12.0972836411962,1.3,8.085,0.584748941173009,-2.70922168361454,91.627,43900313,0.968911125580978,6.26456582010254,22.0541072112108,56.1222358547004,42.3,17.6632278606203,26.0938878488799,0.558149993419647,109.645942687988,86.6178817749023,,5.54548978805542,,99.9,71.0,145.147,2.962629,76.105,9.85558891,11.4,0.218796372413635,-0.299235552549362,-0.347571164369583,-0.320159524679184,0.197749897837639,0.49326366186142,12.5270951690009,884.0
Argentina,AR,2017,2.81850297775918,10.939623860491,1.1,8.347,1.78936504083807,-4.83995921807391,91.749,44288894,0.881249595012674,5.23162237725058,21.782123219335,57.3499373815692,41.4,18.2125671747754,25.2896011376779,0.556309998035431,110.412406921387,89.2329406738281,,5.45431995391846,,100.0,74.3,139.758,,76.543,10.23174763,11.0,0.135085612535477,-0.309002459049225,-0.196430206298828,-0.237312033772469,0.162542164325714,0.528708100318909,11.3202833596733,393.0
Argentina,AR,2018,-2.61739646282038,9.79144712037089,1.6,9.22,2.23253157689253,-5.16055257152295,91.87,44654882,0.822969480473088,4.53787889681146,23.7195923321304,56.3697502721818,41.7,16.6138850156371,30.7625359549926,0.488299995660782,109.696998596191,90.9728317260742,,4.87773990631104,,100.0,77.7,131.224,2.89,76.77,10.29146862,10.7,0.0280606187880039,-0.0992739275097847,-0.195977628231049,-0.219330430030823,0.0069098123349249,0.539252579212189,14.4366857499034,425.0
Argentina,AR,2019,-2.00086100285785,10.3919973375121,1.7,9.843,1.48500687570697,-0.779998447561848,91.991,44973465,0.710900853077743,5.3185559967348,23.1578477391434,55.4388171093669,43.3,14.2100303992191,32.6306150458499,0.478130012750626,110.498527526855,95.0775527954102,,4.7716498374939,,100.0,79.9,125.303,,76.847,10.1555109,10.5,-0.120795331895351,-0.107116244733334,-0.453079700469971,-0.427360445261002,-0.0978230908513069,0.570874631404877,17.9248783778462,442.0
Argentina,AR,2020,-9.9004848136464,10.70812114449,2.2,11.461,1.26616924308721,0.696935361136031,92.111,45191965,0.484665636741261,6.35703367575527,22.4088763711802,54.8578674557962,42.7,14.4151557410245,30.203698807416,0.541260004043579,112.416679382324,99.266227722168,,5.27689981460571,,100.0,85.5,121.181,,75.878,10.45030594,10.3,-0.254261821508408,-0.163570061326027,-0.498344272375107,-0.486265957355499,-0.0719974040985107,0.584501206874847,16.6054144372484,930.0
Argentina,AR,2021,10.4418119882506,11.3410740330927,1.4,8.736,1.36838083162438,1.36154422203441,92.229,45312281,0.265879395046274,7.29128249622041,23.4994644263761,52.8340319497207,42.4,18.0762892471421,33.078689567466,0.522159993648529,116.559448242188,107.130661010742,,4.64117002487183,,100.0,87.2,130.353,,73.948,10.03832245,10.0,-0.390557259321213,-0.422596842050552,-0.631172716617584,-0.477947890758514,0.0005300586344674,0.610777020454407,18.0667091690365,406.0
Argentina,AR,2022,5.26987967384072,11.0858180930687,1.3,6.805,2.402155349277,-0.640820188045601,92.347,45407904,0.210808731072658,6.63829697473642,24.0075527787773,53.5116407160562,40.7,17.2797984562396,31.5477080051071,0.549470007419586,115.434867858887,107.047912597656,,4.80521011352539,,100.0,88.4,131.484,2.8,75.806,9.86305332,9.8,-0.28348970413208,-0.447221606969833,-0.697565734386444,-0.482351809740067,-0.0985943302512169,0.546316981315613,16.248014443903,
Argentina,AR,2023,-1.61100162090189,9.98093648141313,1.2,6.139,3.69401868015696,-3.24351254822954,92.463,45538401,0.286976121920089,5.92985376183283,25.0563816101503,53.1486935707399,42.4,19.3715390134256,26.6405121334437,,,,,,,100.0,89.2,137.706,,77.395,,9.6,-0.377517342567444,-0.360883951187134,-0.482535392045975,-0.410826534032822,-0.127517908811569,0.533921837806702,12.7492457826544,
